EventId,EventTemplate,Occurrences
f7fe7f88,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,85
7b7b32a9,Invalid user webmaster from <*>,2
6b674ff1,input_userauth_request: invalid user <*> [preauth],113
0849a7d0,pam_unix(sshd:auth): check pass; user unknown,135
ebf067b7,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= <*>,110
2ff7d27f,Failed password for invalid user webmaster from <*> port <*> ssh<*>,2
2491ca3e,Connection closed by <*> [preauth],34
4d525d0f,Invalid user test9 from <*>,1
4cb65dc8,Failed password for invalid user test9 from <*> port <*> ssh<*>,1
6844638c,Received disconnect from <*> <*>: Bye Bye [preauth],413
f602b8d9,Invalid user chen from <*>,1
791c3147,Failed password for invalid user chen from <*> port <*> ssh<*>,1
533c6615,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= <*> <*>,384
335e5c25,Failed password for root from <*> port <*> ssh<*>,368
b542638e,message repeated <*> times: [ Failed password for root from <*> port <*> ssh2],2
509a487f,Disconnecting: Too many authentication failures for <*> [preauth],3
baeb51b0,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= <*> user=root,2
2f2318e5,PAM service(sshd) ignoring max retries; <*> > <*>,7
020eef70,Invalid user pgadmin from <*>,1
6a4bf597,Failed password for invalid user pgadmin from <*> port <*> ssh<*>,1
4459c33b,Invalid user utsims from <*>,1
1d3b96f2,Failed password for invalid user utsims from <*> port <*> ssh<*>,1
c926c7d9,Did not receive identification string from <*>,10
2518e786,Invalid user inspur from <*>,3
cd91cfda,Failed password for invalid user inspur from <*> port <*> ssh<*>,3
71043aee,Invalid user support from <*>,6
3df13cc4,Failed password for invalid user support from <*> port <*> ssh<*>,6
90101fdc,error: Received disconnect from <*> <*>: com.jcraft.jsch.JSchException: Auth fail [preauth],2
381de5fa,Failed password for uucp from <*> port <*> ssh<*>,5
22aaf03f,Invalid user test from <*>,5
db4ca1a4,Failed password for invalid user test from <*> port <*> ssh<*>,5
189f897e,Received disconnect from <*> <*>: Closed due to user request. [preauth],7
9302fad4,Invalid user <*> from <*>,10
f0ba90fe,Failed password for invalid user <*> from <*> port <*> ssh<*>,8
228762aa,Failed none for invalid user <*> from <*> port <*> ssh<*>,3
684a54a6,Invalid user admin from <*>,21
805088b5,Failed none for invalid user admin from <*> port <*> ssh<*>,1
8cbd5852,Failed password for invalid user admin from <*> port <*> ssh<*>,44
e5a48069,PAM <*> more authentication <*> logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,8
78691a03,Invalid user default from <*>,1
013c1df2,Failed password for invalid user default from <*> port <*> ssh<*>,2
a4b96102,Failed password for ftp from <*> port <*> ssh<*>,3
17d4e525,Invalid user guest from <*>,3
8c402db1,Failed password for invalid user guest from <*> port <*> ssh<*>,3
f5e1f5ce,Invalid user matlab from <*>,3
f81ee948,Failed password for invalid user matlab from <*> port <*> ssh<*>,3
effd4a15,error: Received disconnect from <*> <*>: No more user authentication methods available. [preauth],45
3c0c530c,Invalid user user from <*>,4
d448ac0c,Failed password for invalid user user from <*> port <*> ssh<*>,4
308aadfc,Invalid user anonymous from <*>,2
12d09e6f,Failed password for invalid user anonymous from <*> port <*> ssh<*>,2
de560f20,Invalid user ubnt from <*>,2
541bafb7,Failed password for invalid user ubnt from <*> port <*> ssh<*>,2
af5be948,Failed password for sshd from <*> port <*> ssh<*>,2
68818261,Invalid user cisco from <*>,2
fa014392,Failed password for invalid user cisco from <*> port <*> ssh<*>,2
3eede9e8,Invalid user operator from <*>,1
1fa3c4f8,Failed password for invalid user operator from <*> port <*> ssh<*>,1
7c51f37c,Invalid user monitor from <*>,1
71d126f5,Failed password for invalid user monitor from <*> port <*> ssh<*>,1
65cd5b15,Invalid user ftpuser from <*>,2
5261c57a,Failed password for invalid user ftpuser from <*> port <*> ssh<*>,2
8dbde17c,Invalid user pi from <*>,1
ffaa47c4,Failed password for invalid user pi from <*> port <*> ssh<*>,1
f9e9da0f,Invalid user PlcmSpIp from <*>,1
b27dddcb,Failed password for invalid user PlcmSpIp from <*> port <*> ssh<*>,1
680dc4b3,Invalid user Management from <*>,1
5e97afb0,Failed password for invalid user Management from <*> port <*> ssh<*>,1
7e68c82e,Invalid user api from <*>,1
fbe45f09,Failed password for invalid user api from <*> port <*> ssh<*>,1
46b435d9,Invalid user eoor from <*>,1
bde014bf,Failed password for invalid user eoor from <*> port <*> ssh<*>,1
95570db7,Invalid user butter from <*>,1
897b1628,Failed password for invalid user butter from <*> port <*> ssh<*>,1
b4ece164,Invalid user redhat from <*>,1
4de33bec,Failed password for invalid user redhat from <*> port <*> ssh<*>,1
9eef0462,Invalid user oracle from <*>,6
6f777e86,Failed password for invalid user oracle from <*> port <*> ssh<*>,6
e6a9077b,Invalid user postgres from <*>,1
fe13c0a6,Failed password for invalid user postgres from <*> port <*> ssh<*>,1
6301b11c,Invalid user nagios from <*>,1
