EventId,EventTemplate,Occurrences
f7fe7f88,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,85
7b7b32a9,Invalid user webmaster from <*>,2
6b674ff1,input_userauth_request: invalid user <*> [preauth],113
0849a7d0,pam_unix(sshd:auth): check pass; user unknown,135
ebf067b7,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= <*>,110
f0ba90fe,Failed password for invalid user <*> from <*> port <*> ssh<*>,135
2491ca3e,Connection closed by <*> [preauth],34
4d525d0f,Invalid user test9 from <*>,1
6844638c,Received disconnect from <*> <*>: Bye Bye [preauth],413
f602b8d9,Invalid user chen from <*>,1
533c6615,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= <*> <*>,384
335e5c25,Failed password for root from <*> port <*> ssh<*>,368
b542638e,message repeated <*> times: [ Failed password for root from <*> port <*> ssh2],2
509a487f,Disconnecting: Too many authentication failures for <*> [preauth],3
baeb51b0,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= <*> user=root,2
2f2318e5,PAM service(sshd) ignoring max retries; <*> > <*>,7
020eef70,Invalid user pgadmin from <*>,1
4459c33b,Invalid user utsims from <*>,1
c926c7d9,Did not receive identification string from <*>,10
2518e786,Invalid user inspur from <*>,3
71043aee,Invalid user support from <*>,6
90101fdc,error: Received disconnect from <*> <*>: com.jcraft.jsch.JSchException: Auth fail [preauth],2
381de5fa,Failed password for uucp from <*> port <*> ssh<*>,5
22aaf03f,Invalid user test from <*>,5
189f897e,Received disconnect from <*> <*>: Closed due to user request. [preauth],7
9302fad4,Invalid user <*> from <*>,10
228762aa,Failed none for invalid user <*> from <*> port <*> ssh<*>,4
684a54a6,Invalid user admin from <*>,21
e5a48069,PAM <*> more authentication <*> logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,8
78691a03,Invalid user default from <*>,1
a4b96102,Failed password for ftp from <*> port <*> ssh<*>,3
17d4e525,Invalid user guest from <*>,3
f5e1f5ce,Invalid user matlab from <*>,3
effd4a15,error: Received disconnect from <*> <*>: No more user authentication methods available. [preauth],45
3c0c530c,Invalid user user from <*>,4
308aadfc,Invalid user anonymous from <*>,2
de560f20,Invalid user ubnt from <*>,2
af5be948,Failed password for sshd from <*> port <*> ssh<*>,2
68818261,Invalid user cisco from <*>,2
3eede9e8,Invalid user operator from <*>,1
7c51f37c,Invalid user monitor from <*>,1
65cd5b15,Invalid user ftpuser from <*>,2
8dbde17c,Invalid user pi from <*>,1
f9e9da0f,Invalid user PlcmSpIp from <*>,1
680dc4b3,Invalid user Management from <*>,1
7e68c82e,Invalid user api from <*>,1
46b435d9,Invalid user eoor from <*>,1
95570db7,Invalid user butter from <*>,1
b4ece164,Invalid user redhat from <*>,1
9eef0462,Invalid user oracle from <*>,6
e6a9077b,Invalid user postgres from <*>,1
6301b11c,Invalid user nagios from <*>,1
aa4bc2c6,Invalid user www from <*>,1
6ba62ae1,Invalid user abc from <*>,1
5f2b6ea7,Invalid user ted from <*>,1
81f3c5c9,Invalid user vnc from <*>,1
e2fe7931,Failed password for git from <*> port <*> ssh<*>,3
41d40d97,Invalid user ghost from <*>,1
b43270b4,Invalid user ubuntu from <*>,2
dc03fffc,Invalid user deploy from <*>,2
205f3a77,Invalid user oralce from <*>,1
fd0b83e9,Invalid user nagios1 from <*>,1
fe27e378,Invalid user postgres1 from <*>,1
a752ed47,Invalid user test1 from <*>,1
ee98a0fe,Invalid user test2 from <*>,1
5995ce49,Invalid user bssh from <*>,1
9adcedc5,Failed password for mysql from <*> port <*> ssh<*>,2
ec8e2e01,Invalid user magnos from <*>,2
d19a190c,Invalid user ingrid from <*>,1
8506b36d,Invalid user jay from <*>,1
b6162d47,Invalid user cyrus from <*>,1
0af30132,Invalid user FILTER from <*>,1
bfd464ee,Accepted password for fztu from <*> port <*> ssh<*>,1
cb82654d,pam_unix(sshd:session): session opened for user fztu by (uid=<*>),1
eba81a50,Received disconnect from <*> <*>: disconnected by user,1
cfe22f2e,pam_unix(sshd:session): session closed for user fztu,1
f26cdc04,Invalid user zhangyan from <*>,1
90e7ca09,Invalid user dff from <*>,1
8a78dcbf,Invalid user cheng from <*>,1
950d3008,Invalid user boot from <*>,1
43ed54fb,Invalid user sandeep from <*>,1
f32f0642,fatal: Write failed: Connection reset by peer [preauth],1
